bcc Te -- Hedin-Lundqvist LDA                                                   
INPUT  IT=262 SPIN=1 NTYPE=  2
 -3.800000  3.800000  3.800000
  3.800000 -3.800000  3.800000
  3.800000  3.800000 -3.800000
    1  435  2.200000  0.030000    1
  0.000000  0.000000  0.000000
-0.2136977563945D-02 0.5991237706445D-20 0.3128854481753D-02 0.9460866799775D-19
 0.3186564290906D-02-0.1489563550261D-18-0.3414696421459D-02-0.2466926580623D-19
 0.2941802663673D-02 0.2400613625255D-19-0.1356836133972D-02-0.8485524152829D-19
-0.3307310390049D-03 0.4655350958619D-19 0.2746726996962D-02 0.5650337493212D-19
 0.2770109872419D-02-0.7738618792414D-19 0.2733128095465D-02-0.2417280012257D-19
 0.1390437299258D-02-0.1976894244141D-20 0.1375869136732D-02-0.4234913774114D-19
-0.1023595970747D-02 0.1442630053216D-18 0.1264694739822D-02 0.4266810657862D-19
 0.2571831443727D-02-0.7459399835041D-20 0.2531141919563D-02 0.4105163922806D-19
-0.1595001674696D-02-0.7652096801085D-19-0.7777437947608D-03 0.1100271266271D-18
 0.2332603964894D-02 0.3627493841615D-20 0.2349763487620D-02-0.3025084257038D-19
 0.2131536926664D-02 0.4970641928318D-19 0.2154587729344D-02-0.7456835689121D-19
-0.4194484317527D-03 0.6329639697458D-19 0.9658200115505D-03 0.2661075954853D-19
 0.1956709866906D-02-0.9804808711969D-20 0.9738320237557D-03 0.7498437917807D-21
 0.4897996254883D-03 0.1471098390892D-19-0.3107854673830D-03-0.6274543735962D-19
-0.5890252792757D-03 0.9014820868342D-19-0.3030531611587D-03-0.1714638553353D-19
 0.1743516173269D-02 0.3086702998599D-19 0.1754921023730D-02-0.3814308341231D-19
 0.8797301384020D-03 0.2426485151743D-19-0.4127874604761D-03-0.4234724489396D-19
 0.1548622644344D-02 0.2051536115083D-19 0.1561281530202D-02 0.9740069638569D-20
 0.7863943718704D-03 0.1392994499310D-19 0.8002988744523D-03-0.2814963278715D-19
